,Unnamed: 0,PlaylistID,PlaylistName,Category,SubCategory,AvgDuration
104,63,3922,Truyện Ma Đặc Sắc,Podcast,Kinh dị,55.2
105,207,4261,Túp Lều Của Bác Tom,Truyện nói,Kinh điển Quốc tế,55.15
106,633,4801,Vạn Kiếp Yêu Em - Tập 1,Truyện nói,Ngôn tình,55.0
107,865,5097,Tinh Thần Samurai Trong Thế Giới Phẳng,Sách nói,Thành công,54.53333333333333
108,61,3920,An Nhiên Giữa Những Thăng Trầm,Sách nói,Tâm linh,54.425
109,757,4954,Khách Hàng Là Số 1,Sách nói,Kinh doanh,54.01666666666666
110,458,4576,Tin Vào Chính Mình (Eng),Sách nói,Thành công,53.6888888888889
111,892,5130,Nghệ Thuật Sống Vui Sống Khỏe Ở Thế Kỷ 21,Sách nói,Sức khoẻ,53.65
112,206,4260,Nghĩ giàu Làm giàu - Think and Grow Rich,Sách nói,Thành công,53.28
113,654,4824,Thuật Lãnh Đạo Từ Vị Tu Sĩ Bán Chiếc Ferrari,Sách nói,Lãnh đạo,52.92083333333334
114,155,4191,"Này Cô Gái, Thức Tỉnh Đi!",Sách nói,Lứa đôi,52.73999999999999
115,882,5117,Tỉnh Thức ,Sách nói,Tâm linh,52.06818181818183
116,197,4247,Làm Gì Trước 30,Sách nói,Thành công,51.86857142857142
117,546,4688,Tư Duy Tối Ưu,Sách nói,Kỹ năng,51.86666666666667
118,208,4262,Khi Người Ta Tư Duy,Podcast,Kiến thức,51.85
119,825,5042,Bát Nhã Tâm Kinh Giảng Thuật,Podcast,Pháp thoại,51.74999999999999
120,659,4832,Bí Mật Tư Duy Triệu Phú,Sách nói,Thành công,51.74523809523808
121,364,4455,Làm Đĩ,Truyện nói,Kinh điển Việt Nam,51.66666666666666
122,670,4845,Inbound Content - Xây dựng chiến lược nội dung theo phương pháp inbound,Sách nói,Kỹ năng,51.66666666666666
123,592,4742,Thói Quen Thứ 8,Sách nói,Thành công,51.55499999999999
124,22,3878,Bảo Đại - Hoàng Đế Cuối Cùng,Sách nói,Lịch sử,51.42857142857142
125,224,4282,Truyện Ngắn Nam Cao 2 - Lão Hạc,Truyện nói,Kinh điển Việt Nam,51.4
126,552,4695,Người Thông Minh Không Làm Việc Một Mình,Sách nói,Thành công,50.89999999999999
127,723,4916,Tay Không Gây Dựng Cơ Đồ,Sách nói,Danh nhân,50.73888888888889
128,812,5028,Dám Nghĩ Lớn,Sách nói,Kỹ năng,50.175
129,570,4713,Chuyến Xe Năng Lượng,Sách nói,Thành công,49.7
130,192,4242,Sài Gòn Một Thuở Chưa Xa: Ai Đã Quên LờI Thề Hippocrate? (Tập 2),Truyện nói,Văn học VN Hiện đại,49.68000000000001
131,652,4822,GOALS - Chinh Phục Mục Tiêu,Sách nói,Thành công,49.66153846153846
132,589,4735,Đắc Nhân Tâm,Sách nói,Thành công,49.50882352941178
